timeStamp,elapsed,label,responseCode,threadName,success,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname
1444416155844,47,144 /ajax/videoArchive.cfc,200,Thread Group 1-1,TRUE,2048,1,1,47,0,0,ubuntu
1444416152256,3627,Videos,200,Thread Group 1-1,TRUE,813024,1,1,384,0,0,ubuntu
1444416155892,799,193 /issues/vIssue/Printables,200,Thread Group 1-1,TRUE,10495,1,1,796,0,0,ubuntu
1444416156692,7,194 /resource/templates/global/dynamic_css.cfm,200,Thread Group 1-1,TRUE,14260,1,1,7,0,0,ubuntu
1444416156700,49,195 /resource/scripts/activityMagazines.cfm,200,Thread Group 1-1,TRUE,32092,1,1,47,0,0,ubuntu
1444416156750,445,203 /resource/services/coverthumb.cfm,200,Thread Group 1-1,TRUE,47143,1,1,306,0,0,ubuntu
1444416157196,187,212 /scholastic/prod/serverComponent.php,200,Thread Group 1-1,TRUE,577,1,1,187,0,0,ubuntu
1444416155892,1487,Issue ID Printables,200,Thread Group 1-1,TRUE,104567,1,1,1343,0,0,ubuntu
1444416157384,136,215 /resource/issues/099611DB-B084-5019-479181C73FD80744/printables-20150928141802.pdf,200,Thread Group 1-1,TRUE,1426230,1,1,9,0,0,ubuntu
1444416157383,136,215 /resource/issues/099611DB-B084-5019-479181C73FD80744/printables-20150928141802.pdf,200,Thread Group 1-1,TRUE,1426230,1,1,9,0,0,ubuntu
1444416157521,47,220 /Videos,200,Thread Group 1-1,TRUE,8462,1,1,46,0,0,ubuntu
1444416157569,45,221 /resource/templates/global/dynamic_css.cfm,200,Thread Group 1-1,TRUE,14260,1,1,44,0,0,ubuntu
1444416157616,48,222 /resource/scripts/activityMagazines.cfm,200,Thread Group 1-1,TRUE,32092,1,1,47,0,0,ubuntu
1444416157665,47,227 /ajax/videoArchive.cfc,200,Thread Group 1-1,TRUE,2048,1,1,47,0,0,ubuntu
1444416157713,181,225 /scholastic/prod/serverComponent.php,200,Thread Group 1-1,TRUE,577,1,1,181,0,0,ubuntu
1444416157521,368,220 /Videos,200,Thread Group 1-1,TRUE,57439,1,1,365,0,0,ubuntu
1444416157901,86,232 /tracker,200,Thread Group 1-1,TRUE,181,1,1,86,0,0,ubuntu
1444416157988,512,233 /tracker,200,Thread Group 1-1,TRUE,181,1,1,512,0,0,ubuntu
1444416158502,985,234 /tracker,200,Thread Group 1-1,TRUE,181,1,1,985,0,0,ubuntu
1444416157895,1583,Video ID,200,Thread Group 1-1,TRUE,543,1,1,1583,0,0,ubuntu
1444416159488,650,392 /b/ss/schopreprodmain/0/FAS-2.8.1-AS2/s84209887348115,200,Thread Group 1-1,TRUE,2260,1,1,402,0,0,ubuntu
1444416160141,769,393 /issues/10_12_15/Debate,200,Thread Group 1-1,TRUE,11533,1,1,768,0,0,ubuntu
1444416160913,8,400 /resource/templates/global/dynamic_css.cfm,200,Thread Group 1-1,TRUE,14260,1,1,6,0,0,ubuntu
1444416160923,50,415 /resource/scripts/activityMagazines.cfm,200,Thread Group 1-1,TRUE,32092,1,1,47,0,0,ubuntu
1444416160974,190,426 /scholastic/prod/serverComponent.php,200,Thread Group 1-1,TRUE,577,1,1,190,0,0,ubuntu
1444416159488,1667,Debate,200,Thread Group 1-1,TRUE,60722,1,1,1413,0,0,ubuntu
1444416161165,50,439 /,200,Thread Group 1-1,TRUE,13115,1,1,49,0,0,ubuntu
1444416161218,58,440 /resource/templates/global/dynamic_css.cfm,200,Thread Group 1-1,TRUE,14260,1,1,57,0,0,ubuntu
1444416161277,51,441 /resource/scripts/activityMagazines.cfm,200,Thread Group 1-1,TRUE,32092,1,1,47,0,0,ubuntu
1444416161329,45,448 /resource/uploads_upfront/Issues/101215/issue.json,200,Thread Group 1-1,TRUE,1105,1,1,45,0,0,ubuntu
1444416161376,165,446 /scholastic/prod/serverComponent.php,200,Thread Group 1-1,TRUE,577,1,1,165,0,0,ubuntu
1444416161165,369,Sign Out,200,Thread Group 1-1,TRUE,61149,1,1,363,0,0,ubuntu
1444416161542,905,1 /,200,Thread Group 1-1,TRUE,929290,1,1,5,0,0,ubuntu
1444416162451,182,63 /scholastic/prod/serverComponent.php,200,Thread Group 1-1,TRUE,577,1,1,182,0,0,ubuntu
1444416162634,5,76 /resource/uploads_upfront/Issues/101215/issue.json,200,Thread Group 1-1,TRUE,1105,1,1,5,0,0,ubuntu
1444416161542,1092,Home,200,Thread Group 1-1,TRUE,930972,1,1,192,0,0,ubuntu
1444416162640,5,179 /issues/vIssue,200,Thread Group 1-1,TRUE,9148,1,1,4,0,0,ubuntu
1444416162645,6,180 /resource/templates/global/dynamic_css.cfm,200,Thread Group 1-1,TRUE,14260,1,1,6,0,0,ubuntu
1444416162651,9,182 /resource/scripts/activityMagazines.cfm,200,Thread Group 1-1,TRUE,32092,1,1,4,0,0,ubuntu
1444416162661,196,185 /scholastic/prod/serverComponent.php,200,Thread Group 1-1,TRUE,577,1,1,196,0,0,ubuntu
1444416162858,166,188 /scholastic/prod/perf.rnc,204,Thread Group 1-1,TRUE,193,1,1,0,0,0,ubuntu
1444416163024,167,189 /scholastic/prod/TagAuditBeacon.rnc,204,Thread Group 1-1,TRUE,193,1,1,0,0,0,ubuntu
1444416162639,549,Issues ID,200,Thread Group 1-1,TRUE,56463,1,1,210,0,0,ubuntu
1444416163192,1777,155 /Issue-Archive,200,Thread Group 1-1,FALSE,756540,1,1,5,0,0,ubuntu
1444416164969,6,158 /resource/templates/global/dynamic_css.cfm,200,Thread Group 1-1,TRUE,14260,1,1,6,0,0,ubuntu
1444416164976,6,159 /resource/scripts/activityMagazines.cfm,200,Thread Group 1-1,TRUE,32092,1,1,4,0,0,ubuntu
1444416164982,182,165 /scholastic/prod/serverComponent.php,200,Thread Group 1-1,TRUE,577,1,1,182,0,0,ubuntu
1444416165165,120,169 /ajax/IssueArchive.cfc,200,Thread Group 1-1,TRUE,2943,1,1,5,0,0,ubuntu
1444416165286,100,168 /ajax/IssueYear.cfc,200,Thread Group 1-1,TRUE,1835,1,1,100,0,0,ubuntu
1444416163192,2191,Issue,,Thread Group 1-1,FALSE,808247,1,1,302,0,0,ubuntu
1444416165387,826,101 /cmp/upfront/sessions,200,Thread Group 1-1,TRUE,12005,1,1,423,0,0,ubuntu
1444416166215,51,103 /issues/10_12_15,200,Thread Group 1-1,TRUE,9148,1,1,49,0,0,ubuntu
1444416166267,49,104 /resource/templates/global/dynamic_css.cfm,200,Thread Group 1-1,TRUE,14260,1,1,49,0,0,ubuntu
1444416166318,51,105 /resource/scripts/activityMagazines.cfm,200,Thread Group 1-1,TRUE,32092,1,1,47,0,0,ubuntu
1444416166369,201,122 /scholastic/prod/serverComponent.php,200,Thread Group 1-1,TRUE,577,1,1,201,0,0,ubuntu
1444416166570,171,130 /scholastic/prod/perf.rnc,204,Thread Group 1-1,TRUE,193,1,1,0,0,0,ubuntu
1444416166742,184,132 /scholastic/prod/TagAuditBeacon.rnc,204,Thread Group 1-1,TRUE,193,1,1,0,0,0,ubuntu
1444416165387,1533,Send User/Pass,200,Thread Group 1-1,TRUE,68468,1,1,769,0,0,ubuntu
1444416166928,3957,137 /Videos,200,Thread Group 1-1,TRUE,764047,1,1,46,0,0,ubuntu
1444416170886,46,138 /resource/templates/global/dynamic_css.cfm,200,Thread Group 1-1,TRUE,14260,1,1,45,0,0,ubuntu
1444416170932,50,139 /resource/scripts/activityMagazines.cfm,200,Thread Group 1-1,TRUE,32092,1,1,49,0,0,ubuntu
1444416170983,178,142 /scholastic/prod/serverComponent.php,200,Thread Group 1-1,TRUE,596,1,1,178,0,0,ubuntu
1444416171162,47,144 /ajax/videoArchive.cfc,200,Thread Group 1-1,TRUE,2048,1,1,47,0,0,ubuntu
1444416166928,4278,Videos,200,Thread Group 1-1,TRUE,813043,1,1,365,0,0,ubuntu
